################################################################
# MalwareBazaar Code Signing Certificate Blocklist (CSCB)      #
# Last updated: 2022-06-17 10:40:02 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "time_stamp_utc","serial_number","thumbprint","thumbprint_algorithm","subject_cn","issuer_cn","valid_from","valid_to","Reason"
"2022-06-17 10:40:02", "061a27a3a3771bb440fc16cadf2675c4", "9ed703ba7033af5f88a5f5ef0155adc41715d3175eec836822a09a93d56e4b7f", "SHA256", "Westeast Tech Consulting, Corp.", "DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1", "2022-05-18T00:00:00Z", "2023-05-11T23:59:59Z", "Matanbuchus"
"2022-06-15 11:21:36", "06675181e7b5e1030b3d40926e2a47d3", "b617253b3695fd498d645bd8278d1bdae2bc36bd4da713c6938e3fe6b0cdb9a4", "SHA256", "ORANGE VIEW LIMITED", "DigiCert EV Code Signing CA", "2020-11-28T00:00:00Z", "2023-10-22T23:59:59Z", "NetWire"
"2022-06-15 11:21:02", "dbc03ca7e6ae6db6", "e059776cb5e640569a06c2548e87af5bd655f5d4815b8f6e9482835455930987", "SHA256", "SPIDER DEVELOPMENTS PTY LTD", "Go Daddy Secure Certificate Authority - G2", "2020-09-23T02:07:53Z", "2022-09-22T11:44:25Z", "CobaltStrike"
"2022-06-14 08:04:04", "26f855a25890b749578f13e4b9459768", "7c81ba35732d1998def02461217cfd723150151bc93375a3e27c2cec33915660", "SHA256", "Boo’s Q & Sweets Corporation", "Sectigo Public Code Signing CA R36", "2022-02-21T00:00:00Z", "2023-02-21T23:59:59Z", "Quakbot"
"2022-06-11 16:34:38", "25ba18a267d6d8e08ebc6e2457d58d1e", "e59824f73703461c2c170681872a28a9bc4731d4b49079aa3afba1d29f83d736", "SHA256", "5Y TECHNOLOGY LIMITED", "Sectigo Public Code Signing CA R36", "2022-03-31T00:00:00Z", "2023-03-15T23:59:59Z", "BadNews"
"2022-05-20 06:56:39", "0a2787fbb4627c91611573e323584113", "8badf05b1814d40fb7055283a69a0bc328943100fe12b629f1c14b9448163aac", "SHA256", "exxon.com", "GeoTrust RSA CA 2018", "2021-12-30T00:00:00Z", "2022-09-02T23:59:59Z", "Malware"
"2022-05-15 07:04:58", "c81319d20c6f1f1aec3398522189d90c", "18d8be8afa6613e2ef037598a6e08e0ef197d420f21aa4050f473fcabd16644a", "SHA256", "AMCERT,LLC", "Sectigo Public Code Signing CA R36", "2022-01-30T00:00:00Z", "2023-01-30T23:59:59Z", "RedLineStealer"
"2022-05-12 06:19:55", "77550ed697992b397e3f1ad8e2a662d1", "0c439c7b60714158f62c45921caf30d17dae37ec6cbc2dfdd9d306e18ae6df63", "SHA256", "GRASS RAIN, s.r.o.", "Sectigo Public Code Signing CA R36", "2022-03-22T00:00:00Z", "2023-03-22T23:59:59Z", "ParallaxRAT"
"2022-05-09 05:41:10", "b1bbef3aba79ab2eae5b8015f26b34f8", "247a10fc20386f4f54b7451aecc2d97ec77567c5031028cc7f1b98f9191bee80", "SHA256", "DIDZHITAL ART, OOO", "COMODO RSA Code Signing CA", "2016-05-13T00:00:00Z", "2017-05-13T23:59:59Z", "NW0rm"
"2022-05-06 12:18:48", "05d50a0e09bb9a836ffb90a3", "2d072e0e80885a82d5e35806b052ca416994e0fe06da1cfdcebd509d967a1aae", "SHA256", "Toliz Info Tech Solutions INC.", "GlobalSign GCC R45 EV CodeSigning CA 2020", "2022-02-03T12:53:30Z", "2023-02-04T12:53:30Z", "ParallaxRAT"
"2022-05-03 11:43:38", "623eae6a66d3a6ee80df9ccebe51181e", "21c4e9af43068d041e6aec84341ae89cabb9917792c4bc372eced059555bb845", "SHA256", "GAIN AI LTD", "Sectigo Public Code Signing CA R36", "2022-04-14T00:00:00Z", "2023-04-14T23:59:59Z", "Quakbot"
"2022-04-29 06:55:44", "0a392f03ded5d73cdeeda75052a57176", "cf1d95b39cc695e90dc2ca8b1b50f33b71f9f21091df2b72ed97f0759b5ddde4", "SHA256", "FLOWER COMPUTERS LTD", "Sectigo Public Code Signing CA R36", "2022-04-27T00:00:00Z", "2023-04-27T23:59:59Z", "Quakbot"
"2022-04-25 13:23:17", "e9268ed63a7d7e9dfd40a664ddfbaf18", "0767b9ab857b8e24282b80a7368323689a842e6c8b5a00a4f965c03e375e8b0d", "SHA256", "Casta, s.r.o.", "Sectigo Public Code Signing CA R36", "2022-03-15T00:00:00Z", "2023-03-15T23:59:59Z", "Hive"
